Name,Barcode
 Mint Majesty™ Herbal Tea, 011033175&011033177&011033178&011033180
Pour Over Pike Place® Special Reserve , 011033719&011033721
Pour Over Brewed Custom Reserve Coffee , 011033725&011033726&011033728&011033730
 Teavana® Shaken Iced Black Tea, 011035108&011035110&011035112&011035115&011126326&011126327&011126328&011126329
 Teavana® Shaken Iced Green Tea, 011035160&011035161&011035163&011035164&011126807&011126808&011126809&011126810
 Teavana® Shaken Iced Passion Tango™ Tea, 011035166&011035167&011035168&011035169&011126354&011126355&011126356&011126357
 Teavana® Shaken Iced Black Tea Lemonade, 011035171&011035175&011035180&011035182&011126330&011126331&011126332&011126333
 Teavana® Shaken Iced Green Tea Lemonade, 011035184&011035185&011035187&011035189&011126811&011126812&011126813&011126814
 Teavana® Shaken Iced Passion Tango™ Tea Lemonade, 011035190&011035191&011035192&011035193&011126359&011126360&011126361&011126362
Chocolate Chai, 011036946
Mini Caramel Frappuccino® Blended Coffee, 011040648
Mini Mocha Frappuccino® Blended Coffee, 011040652
Mini Java Chip Frappuccino® Blended Coffee, 011040655
No Coconut Flakes, 011041060
Add Coconut Milk, 011042135
Sub Coconut Milk Creamer, 011042136
Light Splash of Coconutmilk, 011042137
Extra Splash of Coconutmilk, 011042138
No Splash of Coconutmilk, 011042139
Splash of Coconutmilk, 011043291
Iced Clover® Pike Place® Special Reserve , 011043487&011043489&011043492
Clover® Pike Place® Special Reserve , 011043488&011043490&011043493
Starbucks® Cold Brew , 011044801&011044802&011044803&011044804
Coffee Traveler, 011045091
Pour Over Pike Place® Roast , 011045110&011045111&011045112&011045113
Decaf Pour Over Pike Place® Roast , 011045114&011045115&011045116&011045117
Pour Over Blonde Roast , 011045118&011045119&011045120&011045121
Pour Over Dark Roast , 011045123&011045124&011045125&011045126
Coffee Traveler - Dark Roast, 011045140
Coffee Traveler - Decaf Pike Place® Roast, 011045141
Coffee Traveler - Pike Place® Roast, 011045142
No Very Berry Hibiscus, 011045270
Light Very Berry Hibiscus, 011045271
Extra Very Berry Hibiscus, 011045272
Sub Very Berry Hibiscus, 011045273
Regular Very Berry Hibiscus, 011045274
Extra Splash of Green Tea, 011045285
Sub Green Tea Base, 011045286
Regular Splash of Green Tea, 011045287
No Splash of Green Tea, 011045288
Light Splash of Green Tea, 011045289
Light Splash of Black Tea, 011045290
Extra Splash of Black Tea, 011045291
Sub Black Tea Base, 011045292
Regular Splash of Black Tea, 011045293
No Splash of Black Tea, 011045294
Extra Splash of Passion Tango Tea, 011045295
Sub Passion Tango Tea, 011045296
Regular Splash of Passion Tango Tea, 011045297
No Splash of Passion Tango Tea, 011045298
Light Splash of Passion Tango Tea, 011045299
Mini Coffee Frappuccino® Blended Coffee, 011046107
 Iced Thirty Cents, 011046233
 Flat White, 011047168&011047169&011047170&011047171
 Iced Flat White, 011047176&011047178&011047179
Chestnut Praline Crème Frappuccino® Blended Beverage , 011047445&011047446&011047447
Cold Brew Refill , 011048321&011048322&011048625&011048626
 Clover® Brewed Coffee, 011048495&011048497&011048498&011048501
Iced Clover® Brewed Custom Reserve Coffee , 011048496&011048499&011048500
Starbucks® Cold Brew Coffee with Milk , 011048886&011048887&011048889&011048892
Add Starbucks Reserve® Espresso Shot, 011049854
 S'mores Frappuccino® Blended Coffee, 011050310&011050311&011050312
 S'mores Frappuccino® Blended Crème, 011050314&011050315&011050316
 Starbucks Reserve® Cold Brew, 011050548&011050549&011050550
 Lemon Bar Crème Frappuccino® Blended Crème, 011050784
Add Milk Chocolate Sauce, 011050975
Substitute Milk Chocolate Sauce, 011050979
Extra Milk Chocolate Sauce, 011050981
Light Milk Chocolate Sauce, 011050983
No Milk Chocolate Sauce, 011050985
Marshmallow Syrup, 011050987
Regular Marshmallow Whipped Cream, 011050990
Light Marshmallow Whip Cream, 011050994
Extra Marshmallow Whipped Cream, 011050995
Sub Marshmallow Whipped Cream, 011050996
No Marshmallow Whip Cream, 011050997
Light Graham Cracker Topping, 011051002
Graham Cracker Topping, 011051003
Extra Graham Cracker Topping, 011051004
Sub Graham Cracker Topping, 011051005
No Graham Cracker Topping, 011051006
Mini White Chocolate Mocha Light Frappuccino® Blended Coffee, 011051468
